methods,no_loc,rg,k_rg,spat_burst,rand_entr,real_entr,uncorr_entr,max_dist,dist_straight,max_dist_home,recency,freq_rank,no_loc_error,rg_error,k_rg_error,spat_burst_error,rand_entr_error,real_entr_error,uncorr_entr_error,max_dist_error,dist_straight_error,max_dist_home_error,mae,mad
MTGP,200,4.5252448101261615,0.15126461500739732,0.07834088444364808,7.643856189774724,1.955422951506413,4.197993796254316,7.035069597588512,295.7044306733009,25.79485794917886,0.016853932584269662,0.9325842696629213,22,-0.28400667983176486,-8.748207375092187e-06,0.09962155496185779,0.16812275880832672,1.710015886608139,0.4966883500073611,0.0,3.0292552176890126,0.0,2.778771919611384,-0.19929816645384713
SES,126,4.2644666597651755,0.15126461500739732,0.27244603230544207,6.977279923499917,1.1173845437179504,3.3897560768993142,22.52155218017909,726.5850497204046,25.79485794917886,0.0,0.7142857142857143,-52,-0.5447848301927509,-8.748207375092187e-06,0.29372670282365176,-0.49845350746648087,0.8719774788196762,-0.31154936934764077,15.486482582590577,433.90987426479273,0.0,50.391685748424095,-0.19929816645384713
Holt,126,4.335739608827554,0.15126461500739732,0.2359869412409028,6.977279923499917,1.1173845437179504,3.3897560768993156,21.27571647642727,832.3374841428739,25.79485794917886,0.0,0.7142857142857143,-52,-0.47351188113037246,-8.748207375092187e-06,0.2572676117591125,-0.49845350746648087,0.8719774788196762,-0.31154936934763944,14.240646878838758,539.662308687262,0.0,60.831572416283144,-0.19929816645384713
ES,148,4.790377217138293,0.15126461500739732,0.2091929035811578,7.20945336562895,1.7139971055221048,3.9605672401691647,17.61616704670432,1244.877065960143,25.79485794917886,0.013513513513513514,0.9121621621621622,-30,-0.01887427281963383,-8.748207375092187e-06,0.2304735740993675,-0.2662800653374475,1.4685900406238308,0.2592617939222097,10.581097449115807,952.2018905045311,0.0,99.50264764486569,-0.19929816645384713
ARIMA,126,,0.15126461500739732,,6.977279923499917,1.955422951506413,3.389756076899315,7.035069597588512,,,0.0,0.696,-52,,-8.748207375092187e-06,,-0.49845350746648087,1.710015886608139,-0.3115493693476399,0.0,,,,-0.19929816645384713
SARIMAX,148,,0.15126461500739732,,7.20945336562895,1.955422951506413,3.9605672401691647,7.035069597588512,,,0.013513513513513514,0.696,-30,,-8.748207375092187e-06,,-0.2662800653374475,1.710015886608139,0.2592617939222097,0.0,,,,-0.19929816645384713
LI,159,4.571488228974005,0.15115913625940422,0.1321792634126775,7.312882955284356,1.251913844307222,3.5649953088335122,7.035069597588512,253.18171534448035,25.79485794917886,0.0,0.8805031446540881,-19,-0.23776326098392175,-0.00011422695536819627,0.1534599339308872,-0.16285047568204192,1.006506779408948,-0.13631013741344278,0.0,-39.493460111131554,0.0,6.019046492550617,-0.19929816645384713
Ground Truth,178,4.809251489957926,0.15127336321477242,-0.02128067051820971,7.475733430966398,0.2454070648982741,3.701305446246955,7.035069597588512,292.6751754556119,25.79485794917886,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19929816645384713
