model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE,PCM,DF,AREA,CL,DTW,MSE
MTGP_Comp,0.5971393932780806,2.137485048653028,1.3979901208315648,51.0079595989182,107011.06122347036,117930.40259269888,173.22986132797183,4.852663999269238,77513.41537341313,,2761.1725545178474,1.1422105833038096
MTGP_RBF,0.4364203830175832,1.552402767969563,0.8923740216443664,384.4193894876397,1183.6963570933092,888777.628495423,,3.1378686463148258,77409.73779448494,249.79284361987993,2018.0078510733067,0.60248858849989
SES,0.6144035397553662,2.232134611229975,1.4838803666207077,1.9620643427901143,14.060159961171992,4536.292760530744,626.585353296699,3.6064719852999123,43894.448321640026,,2841.0019678288145,1.245606230662698
Holt,0.7028766107528068,2.4785640602757817,1.8512582695059874,2.236651537767491,15.715644986404556,5171.13835531844,603.1893363691061,3.762075582461016,62830.30946872507,,3250.1014481209795,1.5358199502226921
ES,0.6833092362534965,2.419959600839798,1.788027690821888,2.2163826145908234,21.52834514709545,5124.276604933984,527.8686660978979,3.7785179760823286,59679.49436454306,,3159.6219084361664,1.4640511174241784
ARIMA,0.4370830301130242,1.5656694800040278,0.8732748688916371,86.28026482686116,285.64157959640454,199479.97227970298,521.5329996299247,3.133665044429224,76816.14136607875,,2021.0719312426224,0.6128302301540207
SARIMAX,0.43632450890775154,1.5528756632437062,0.8871497643375174,inf,inf,inf,,3.1366408647849173,77184.71815662368,inf,2017.564529189442,0.602855706373645
