model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE,PCM,DF,AREA,CL,DTW,MSE
MTGP_Comp,0.41817467210237236,1.9225582156905399,0.743958646879204,6.56944828441337,1304.0006935557774,11463.68725630133,117.04821097045338,9.83403912680993,64191.33687683801,102.91499807489288,1459.429605637281,0.9240575231797984
MTGP_RBF,0.2717665271246273,1.7297314371911579,0.35830868190795184,173.25886675105977,3275.4225199834527,302336.7224805993,,9.416693055107421,49462.26852355616,,948.4651796649482,0.7479927112018472
SES,0.2473798811090085,1.7359804126895537,0.17411267313639783,3.4339250893895654,386.764679073285,5992.199280984792,923.1326021493359,9.334284472326686,36604.57175399451,43.312720440003545,863.3557850704394,0.7534069983104482
Holt,0.24737988110907422,1.7359804126895437,0.174112673136946,3.4339250893861055,386.7646790719604,5992.199280978754,923.132602149044,9.334284472326267,36604.571753994736,43.312720439977106,863.3557850706693,0.7534069983104394
ES,0.25986358058751086,1.7525071511682042,0.22189344908865297,3.388362035877233,239.50831351304615,5912.691752605772,697.1306417102107,9.325273900837907,39971.800550280386,54.381908826530136,906.9238962504122,0.7678203287239238
ARIMA,0.2877742185441914,1.7855101415237957,0.3332962214939569,17.014541315478294,460.01983455979337,29690.374595509624,950.6445838097075,9.497954099769375,47926.666479319785,,1004.3320227192286,0.7970116163710812
SARIMAX,0.27084354448767284,1.7298753980577983,0.3558204498731765,inf,inf,inf,957.9465091888283,9.479333961406269,49361.87325096533,226.13600010330262,945.2439702619756,0.7481172232014066
