methods,no_loc,rg,k_rg,spat_burst,rand_entr,real_entr,uncorr_entr,max_dist,dist_straight,max_dist_home,recency,freq_rank,no_loc_error,rg_error,k_rg_error,spat_burst_error,rand_entr_error,real_entr_error,uncorr_entr_error,max_dist_error,dist_straight_error,max_dist_home_error,mae,mad
MTGP_Comp,212,5.973758485361802,0.20563722338371318,0.2360594702386023,7.727920454563199,7.691639137875109,7.727920454563198,24.53697695406455,447.717256292357,37.30883661525885,0.0,0.900990099009901,10,-3.5626934359305213,-0.4362755706011905,0.060557698635705176,0.06970897181140412,0.344916553267943,0.17949881040099136,-14.14265985933369,-274.75843876436807,-7.019855632186818,31.057460529653635,-7.376017295360953
MTGP_RBF,1,1.4146461779773745e-12,0.0,,0.0,0.14310963804746663,0.0,0.0,0.0,0.0,0,0,-201,-9.53645192129091,-0.6419127939849036,,-7.658211482751795,-7.2036129465597,-7.5484216441622065,-38.67963681339824,-722.475695056725,-44.328692247445666,,-7.376017295360953
SES,1,2.1219692669660617e-12,0.0,,0.0,0.14310963804746663,0.0,0.0,0.0,0.0,0,0,-201,-9.536451921290201,-0.6419127939849036,,-7.658211482751795,-7.2036129465597,-7.5484216441622065,-38.67963681339824,-722.475695056725,-44.328692247445666,,-7.376017295360953
Holt,1,3.818859625968717e-12,0.0,,0.0,0.14310963804746663,0.0,0.0,0.0,0.0,0,0,-201,-9.536451921288505,-0.6419127939849036,,-7.658211482751795,-7.2036129465597,-7.5484216441622065,-38.67963681339824,-722.475695056725,-44.328692247445666,,-7.376017295360953
ES,24,1.3050172843783798,0.08065514358350531,-0.23856837770259393,4.584962500721156,3.138542406834096,4.449482327172522,3.9181815101439987,326.0999605046019,3.982954184862763,0.0,0.9583333333333334,-178,-8.231434636913944,-0.5612576504013983,-0.414070149305491,-3.0732489820306386,-4.20818017777307,-3.098939316989685,-34.76145530325424,-396.37573455212316,-40.3457380625829,66.90700588313744,-7.376017295360953
ARIMA,1,0.0,0.0,,0.0,0.14310963804746663,0.0,0.0,0.0,0.0,0,0,-201,-9.536451921292324,-0.6419127939849036,,-7.658211482751795,-7.2036129465597,-7.5484216441622065,-38.67963681339824,-722.475695056725,-44.328692247445666,,-7.376017295360953
SARIMAX,1,1.9091333964262275e-12,0.0,,0.0,0.14310963804746663,0.0,0.0,0.0,0.0,0,0,-201,-9.536451921290414,-0.6419127939849036,,-7.658211482751795,-7.2036129465597,-7.5484216441622065,-38.67963681339824,-722.475695056725,-44.328692247445666,,-7.376017295360953
LI,212,7.209878465894591,0.03139507191963295,0.3355105574329683,7.727920454563199,7.691639137875109,7.727920454563198,32.341345409464076,413.1632485110741,47.20975039195357,0.0,0.900990099009901,10,-2.3265734553977326,-0.6105177220652707,0.1600087858300712,0.06970897181140412,0.344916553267943,0.17949881040099136,-6.338291403934164,-309.31244654565097,2.8810581445079038,33.222302039286646,-7.376017295360953
Ground Truth,202,9.536451921292324,0.6419127939849036,0.17550177160289712,7.658211482751795,7.346722584607166,7.5484216441622065,38.67963681339824,722.475695056725,44.328692247445666,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.376017295360953
