model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE,PCM,DF,AREA,CL,DTW,MSE
MTGP_Comp,0.16761095889690292,0.9871247708739286,0.18602119446045576,1.1900701174274184,11.038538818788927,584.3244276568624,130.74501769133684,3.112292208859179,16636.660842604633,,164.5939616367586,0.24360382831822647
MTGP_RBF,0.3149605818071227,1.0538773270984942,0.7507180368616815,810.400034564388,3294.079321106163,397906.4169711145,125825029422774.6,2.712062571002105,46520.6061418622,141.3854737146516,309.2912913345944,0.27766435514306664
SES,0.42159775886390605,1.5864899311722036,1.47250463393165,1.5477333847704549,8.510213275223855,759.9370919222932,,2.6477649411374755,66729.79384958361,,414.0089992043561,0.6292375754276958
Holt,0.5687438114284857,2.1669016915757844,2.153830783891101,1.3907040713451897,8.654897973603891,682.8356990304882,,2.9831277571708865,93130.29385543526,,558.5064228227727,1.1738657352384991
ES,0.4177480193446964,1.5804485887918345,1.4560055663828877,1.5391707981513751,10.541382855611968,755.7328618923252,438.5299080260047,2.7751745474566576,65282.74575518775,,410.22855499649177,0.6244544354535252
ARIMA,0.4215977591447211,1.5864899324232018,1.4725046354756919,1.547733383688233,8.510213271513825,759.9370913909224,,2.6477649420222074,66729.79390016993,,414.0089994801165,0.6292375764200439
SARIMAX,0.3144768774284251,1.0531539846408882,0.7489548377623211,inf,inf,inf,,2.7133003128987347,46429.057396829274,inf,308.81629363471336,0.27728332884124507
