model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE
MTGP,1.3663324588070698,1.7862729823825605,1.0892311663223373,203.830407000276,127153.16440680852,129432.30844517528
SES,0.8028674464025648,1.089085957100566,0.5768846628468703,1.79856390419441,8.945111040273723,1142.0880791634504
Holt,1.0187198756689118,1.2359396175880188,1.0527532254798846,3.557053359176229,14.228165646265294,2258.7288830769057
ES,0.984108435390976,1.2283609030508682,0.963170652589702,18.28976887642483,412.9998119813621,11614.003236529768
ARIMA,0.9135538787222414,1.1681192528550652,0.9364126181768389,230.0096526855205,679.5814396048004,146056.12945530552
SARIMAX,0.8550934276181735,1.104824016141947,0.748122223870155,10.531710542112132,498.7794106327446,6687.636194241206
