,value
max_speed_kmh,400.0
spatial_radius_km,0.3
bin_len,10080.0
tdf.shape[0],3668.0
f_tdf.shape[0],3502.0
fc_tdf.shape[0],1206.0
fcu_tdf.shape[0],1205.0
curr_ocp,1.0
target_ocp,0.6
new_ocp,0.6
n_train,768.0
n_test,262.0
n_dims,13.0
mean_lat,47.59057228563054
mean_long,-122.03164382631684
std_lat,0.048909777416316746
std_long,0.05768374002741761
init_lengthscale,28.29921773142112
init_period_len_1,480.0
init_period_len_2,1440.0
log_ll,44.90942156331903
m,43.0
bic,195.86411539871187
gp_runtime,56.76489233970642
ses_smoothing_level,0.1
holt_smoothing_level_lat,0.2
holt_smoothing_slope_lat,0.045
holt_smoothing_level_lon,0.1
holt_smoothing_slope_lon,0.0307
es_seasonal_periods,24.0
arima_order,"(1, 1, 0)"
sarimax_order,"(1, 0, 0)"
sarimax_seasonal_order,"(1, 1, 1, 24)"
