model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE
MTGP,0.64828393510069,0.7672900295698158,0.5359544300012866,5.361843917436865,18.946623995167432,80.42765876155298
SES,1.2892399379623816,1.2962972085133475,1.250469883550678,2.2127450537813154,2.809470903051319,33.19117580671973
Holt,1.2888498645738298,1.295852851253812,1.2502392939331692,2.337347446211857,3.1162832325648995,35.06021169317786
ES,2.5196767952715096,2.6015662386339087,2.376432899363979,1.8230880803945853,3.581530056905426,27.346321205918777
ARIMA,0.681645896031091,0.9388582034937378,0.5599103120091796,2.193026377910793,4.6670258198708,32.89539566866189
SARIMAX,0.8980457636453761,0.9459403304471642,0.8564380278123831,9.180311017050709,26.20075279673632,137.70466525576066
