model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE
MTGP,1.6634251956460422,2.171421426240034,1.206829930643216,7.640160367713425,735.4610362593788,3865.9211460629936
SES,2.0111089269817812,2.501815886499563,1.4728071808150511,8.011184045429806,27.538619582928312,4053.659126987482
Holt,2.3035649320432094,2.766184860151296,1.8048141570093648,10.684402203336031,34.27391557926279,5406.307514888032
ES,5.667129808987367,5.913196855491662,5.408106246888298,5.882377187560123,88.24128607237269,2976.482856905422
ARIMA,2.8443509950553554,3.28653605242471,2.444759476871552,3.996694602171148,13.104264593029718,2022.3274686986008
SARIMAX,1.5928634515356754,2.096004478312064,1.245444919032633,30.29853537594421,700.9179537747352,15331.058900227768
