methods,no_loc,rg,k_rg,spat_burst,rand_entr,real_entr,uncorr_entr,max_dist,dist_straight,max_dist_home,recency,freq_rank
MTGP_Comp,12,3.0980759097904635,,-0.035450664946102446,3.584962500721156,3.3091961545118367,3.584962500721157,4.280940978619654,16.07504847858494,6.381837021352534,0.0,0.8333333333333334
MTGP_PM,191,15.692407727941829,,0.32876405304997647,7.577428828035749,7.537963052889729,7.577428828035751,69.42082126331371,865.3107153294411,73.25751863382644,0.0,0.5611111111111111
MTGP_PM_Comp,6,0.7583174270048947,,-0.1550174721997082,2.584962500721156,2.2156821434752767,2.584962500721156,1.0527978593390017,2.4732971499884937,1.9373413897047276,0.0,1.0
MTGP_GT,12,2.870117862387561,,0.22523970359243456,3.584962500721156,3.3091961545118367,3.584962500721157,10.676106910651342,20.38684405889491,10.687882109897226,0.0,0.8333333333333334
MTGP_GT_PM,180,8.119574504156956,,0.2202377639732447,7.491853096329675,7.164796565122911,7.352195581917144,17.884835737622474,248.18784155115003,30.642246355906035,0.0,0.5611111111111111
MTGP_GT_PM_Comp,6,1.710060429108217,,-0.0012183385832401988,2.584962500721156,2.2156821434752767,2.584962500721156,3.7316703153859385,6.249277581255184,4.059698974220919,0.0,1.0
