model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE,PCM,DF,AREA,CL,DTW,MSE
MTGP_Comp,0.5703350704516306,2.592316459475169,1.1859499850876434,14.385323319674356,11093.750459949846,33661.65656803799,200.2737888093592,13.391815893992415,69121.83558806781,97.01622302769292,2669.1681297136283,1.6800261565164685
MTGP_RBF,0.4723714956875874,2.2632077674611852,0.9020802592631069,201.94284851596834,2475.8940784177917,472546.2655273659,,12.174806352746355,58936.103207389184,239.1300615973169,2210.6985998179043,1.2805273496741605
SES,0.49140051046605926,2.5711253009302477,0.932792237501746,1.781210144338822,22.650792529495277,4168.031737752843,,12.930099630297095,23147.77711443065,53.05022064969238,2299.754388981153,1.6526713282709138
Holt,0.5155907322532332,2.6282781114788722,0.9734831823282414,1.6850588228917276,20.655924210552204,3943.0376455666424,,13.013722157267065,28790.86710126492,51.07762074303835,2412.9646269451373,1.726961457819737
ES,0.5271519474700207,2.6545723982232774,0.9985161134409895,1.654516741701354,20.5271476545736,3871.569175581168,12906.30131947257,13.02814147426054,31917.43595342688,44.12235623476943,2467.0711141597017,1.7616886543522203
ARIMA,0.5237425942119455,2.6513358361497104,0.9817417542457024,1.659844046805372,20.00422449746258,3884.0350695245697,,13.041036463558566,30950.814797006864,50.61709128560808,2451.1153409118997,1.7573954290129212
SARIMAX,0.4732762706702594,2.2628525199277685,0.9082308680737056,inf,inf,inf,,12.168133482790866,59383.62575004042,inf,2214.932946736816,1.2801253817358624
