model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE,PCM,DF,AREA,CL,DTW,MSE
MTGP_Comp,0.3431178248952677,1.8337368492089865,0.31305570964967133,7.7189907416057775,8957.29045746868,22863.65057663631,330.6282040709642,8.718268588062074,71802.7435614925,,2032.629994679567,0.8406477080367256
MTGP_RBF,0.21194510189269716,1.5634153851720802,0.26910827078767036,337.259384640103,8258.378618433337,998962.2973039852,,8.921678976184442,57600.74843022546,,1255.562783612316,0.611066916648191
SES,0.13294187918275197,1.600031556889849,0.0,1.9900193055016135,67.3842563278914,5894.437182895779,,9.111868056014094,39088.678375200776,134.08706473525552,787.547692278622,0.6400252457608384
Holt,0.13294191177922685,1.6000315757410364,1.3627130062514684e-07,1.9900192135651227,67.38422925118331,5894.436910579894,,9.111868124151556,45187.69095977378,134.08705043070535,787.5478853801444,0.6400252608420861
ES,0.20761385104862795,1.61663439815961,0.24548097763509927,7.971003468614801,1356.1525404792774,23610.11227403704,716.7946934790162,9.231298282158448,56657.023196317765,157.74001068495016,1229.904453612076,0.6533766943282212
ARIMA,0.1404011945938288,1.5942470703013762,0.02856921821451147,2.3802542367463038,74.15204380742075,7050.313049242552,,9.093312801295811,46331.60833934746,138.44678029929275,831.7366767738533,0.6354059302911303
SARIMAX,0.21256267654845457,1.5631975168044705,0.2710926792336898,inf,inf,inf,,8.920207512289759,57698.24315095449,inf,1259.2212958730674,0.6108966191359158
