methods,no_loc,rg,k_rg,spat_burst,rand_entr,real_entr,uncorr_entr,max_dist,dist_straight,max_dist_home,recency,freq_rank,no_loc_error,rg_error,k_rg_error,spat_burst_error,rand_entr_error,real_entr_error,uncorr_entr_error,max_dist_error,dist_straight_error,max_dist_home_error,mae,mad
MTGP_Comp,2962,3.778137678229825,0.06223809357291986,0.5802186527476568,11.532355925288847,11.528463803815582,11.532355925288849,19.201753812166316,914.3857504327391,23.37962243731655,0.0,0.7419354838709677,2621,-1.053404955361923,0.05386737948412917,-0.10824123809562447,3.118727996264674,11.088085314887229,9.913333031168042,-14.680946365821036,-394.08501356851366,-20.416177751004874,307.5517797600601,-4.42364911606137
MTGP_RBF,1,0.0,0.0,,0.0,0.015552738941724676,0.0,0.0,0.0,0.0,0,0,-340,-4.831542633591748,-0.008370714088790693,,-8.413627929024173,-0.4248257499866285,-1.6190228941208065,-33.88270017798735,-1308.4707640012527,-43.79580018832142,,-4.42364911606137
SES,1,0.0,0.0,,0.0,0.015552738941724676,0.0,0.0,0.0,0.0,0,0,-340,-4.831542633591748,-0.008370714088790693,,-8.413627929024173,-0.4248257499866285,-1.6190228941208065,-33.88270017798735,-1308.4707640012527,-43.79580018832142,,-4.42364911606137
Holt,1,7.073230889886872e-13,0.0,,0.0,0.015552738941724676,0.0,0.0,0.0,0.0,0,0,-340,-4.831542633591041,-0.008370714088790693,,-8.413627929024173,-0.4248257499866285,-1.6190228941208065,-33.88270017798735,-1308.4707640012527,-43.79580018832142,,-4.42364911606137
ES,24,0.8157870350587326,0.4552859051158573,-0.24356518904332564,4.584962500721156,3.5630372640769337,4.580160580011303,2.420921497879602,3353.2690292316,1.2137272917544628,0.041666666666666664,0.9583333333333334,-317,-4.015755598533016,0.4469151910270666,-0.932025079886607,-3.828665428303017,3.1226587751485804,2.9611376858904968,-31.461778680107752,2044.7982652303474,-42.582072896566956,245.11492745658109,-4.42364911606137
ARIMA,1,1.896736949717636e-12,1.8967369497176355e-12,,0.0,0.015552738941724676,0.0,0.0,0.0,0.0,0,0,-340,-4.831542633589851,-0.008370714086893957,,-8.413627929024173,-0.4248257499866285,-1.6190228941208065,-33.88270017798735,-1308.4707640012527,-43.79580018832142,,-4.42364911606137
SARIMAX,1,2.024573319713238e-12,0.0,,0.0,0.015552738941724676,0.0,0.0,0.0,0.0,0,0,-340,-4.831542633589724,-0.008370714088790693,,-8.413627929024173,-0.4248257499866285,-1.6190228941208065,-33.88270017798735,-1308.4707640012527,-43.79580018832142,,-4.42364911606137
LI,716,9.829172461923477,6.896969867780318,0.9211746222789,9.483815777264256,0.03840021926945546,3.60200017475999,34.38543682975761,86.57621786331597,34.38543682975761,0.002932551319648094,0.5806451612903226,375,4.997629828331729,6.888599153691527,0.23271473143561872,1.0701878482400833,-0.40197826965889766,1.9829772806391834,0.5027366517702561,-1221.8945461379367,-9.410363358563814,162.2381733260268,-4.42364911606137
Ground Truth,341,4.831542633591748,0.008370714088790693,0.6884598908432813,8.413627929024173,0.44037848892835313,1.6190228941208065,33.88270017798735,1308.4707640012527,43.79580018832142,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.42364911606137
