model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE,PCM,DF,AREA,CL,DTW,MSE
MTGP_Comp,0.3424844064698151,1.4377274637407726,0.526460828253168,6.306882284811175,682.5351196635295,6426.713048222588,54.58046189431912,4.634411528901921,26934.901156366075,,697.9832203854835,0.5167650649986189
MTGP_RBF,0.26904629759595156,0.9589744564848668,0.5111579617657734,404.63165247056656,1055.79954782175,412319.6538675073,,1.5967526020748444,22040.732378722074,,548.3163545005496,0.22990800204761142
SES,0.43940770976418936,1.550144017861661,0.9129569697333896,1.4253238738131107,4.259212140265785,1452.4050274155597,,2.485740304107857,54120.9057040567,,895.5129124994176,0.6007366190280735
Holt,0.5173830506589456,1.734725741178919,1.138368776644674,1.4147429584558562,3.799162881027195,1441.6230746665176,,2.645618443633702,64828.52490324099,,1054.426657242932,0.7523183492771874
ES,0.49603272859876496,1.6890997666506111,1.1074382273482481,1.428424069483643,4.162796583697463,1455.5641268038323,4122.361716559524,2.626336924164337,62256.93367553939,,1010.9147008842823,0.7132645054247875
ARIMA,0.26548674858837995,0.9581885621028899,0.49149834429055567,41.569252953317786,126.7308605463108,42359.068759430826,,1.614003325441212,21426.814230374293,,541.0619936231193,0.22953133013620095
SARIMAX,0.26914866035017465,0.9586776269534829,0.5112513316206975,inf,inf,inf,,1.595914359743277,21992.026897582848,inf,548.5249697936556,0.2297656981052903
