model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE,PCM,DF,AREA,CL,DTW,MSE
MTGP_Comp,0.25796363187027493,1.0659000501596463,0.4909551257801747,3.0263591141525192,164.92345578901805,1222.649082117618,42.764805783100925,3.379266643767704,44448.6630311582,,208.43461455118216,0.28403572923258413
MTGP_RBF,0.29888480205947393,1.1887798944279437,0.5771176145100572,2058.6818877114038,9709.0160582013,831707.4826354071,,3.919833640777802,49699.51025698227,134.01407917732598,241.49892006405503,0.3532994093490283
SES,0.3103574744527089,1.2569054322606052,0.9234878101341346,1.5173483957502416,14.506377810624942,613.0087518830976,,4.183349805802618,55988.790716966,,250.76883935778872,0.3949528164115548
Holt,0.37442009985650637,1.49395169917897,1.3288227592620063,1.284845040208468,13.413768775771425,519.0773962442211,,4.419413842542698,67387.91141710227,,302.53144068405703,0.557972919869933
ES,0.37017947583566085,1.477611764665165,1.3013011385513273,1.2671906518063751,12.212929312435456,511.9450233297756,1805.2152776199819,4.434948769650944,66405.38821769085,,299.10501647521386,0.5458341317692256
ARIMA,0.297118321245512,1.1854587358559645,0.5723004909972176,115.02318016805995,666.6435316386811,46469.36478789622,,3.921609887717946,49458.30751009588,,240.0716035663736,0.35132810360430533
SARIMAX,0.29869889084781837,1.1885135095928976,0.5766812811253483,inf,inf,inf,,3.9202031302238005,49668.54999603431,inf,241.34870380503733,0.3531410906212067
