methods,no_loc,rg,k_rg,spat_burst,rand_entr,real_entr,uncorr_entr,max_dist,dist_straight,max_dist_home,recency,freq_rank,no_loc_error,rg_error,k_rg_error,spat_burst_error,rand_entr_error,real_entr_error,uncorr_entr_error,max_dist_error,dist_straight_error,max_dist_home_error,mae,mad
MTGP,1161,41.97381292629106,5.600383211348645,0.5307223937819472,10.181152256865566,10.014907029747038,10.126642383895687,157.4496079307301,4788.679223289433,180.55877867839675,0.012919896640826873,0.429801894918174,-251,14.67916973083906,0.15199163287840456,0.14418778282967376,-0.28237211640561455,-0.2016270994567897,-0.23810440443015501,90.73838698814355,3350.185985741224,88.39077076041751,379.6012596256625,-1.506809211251488
SES,645,18.480446448914634,0.2658385782973493,0.652534739362949,9.333155350310616,0.5519127378734672,6.190621621097696,97.4919834185735,778.3383535732484,98.62689654823846,0.007751937984496124,0.6310077519379845,-767,-8.814196746537366,-5.1825530001728914,0.2660001284106756,-1.130369022960565,-9.66462139133036,-4.174125167228146,30.780762475986933,-660.1548839749606,6.458888630259224,149.3626400537847,-1.506809211251488
Holt,645,18.262568157616638,0.10943123536109828,0.6535841207728645,9.333155350310616,0.5519127378734672,6.190621621097696,96.30584098119593,760.2030818708884,97.4161925004129,0.007751937984496124,0.6263565891472869,-767,-9.032075037835362,-5.338960343109142,0.2670495098205911,-1.130369022960565,-9.66462139133036,-4.174125167228146,29.594620038609364,-678.2901556773206,5.248184582433666,150.9740160770648,-1.506809211251488
ES,668,18.595643870713342,0.5392616980073355,0.5221310487770645,9.383704292474052,2.54805918737451,8.186594379205143,98.55952802350116,1182.6745031111611,100.13516907368277,0.014970059880239521,0.6212574850299402,-744,-8.698999324738658,-4.909129880462905,0.13559643782479108,-1.0798200807971288,-7.668474941829317,-2.178152409120699,31.848307080914594,-255.81873443704785,7.967161155703536,106.43043757484395,-1.506809211251488
ARIMA,645,,5.600383211348645,,9.333155350310616,10.014907029747038,6.190621621097696,,,,0.007751937984496124,0.6164596273291926,-767,,0.15199163287840456,,-1.130369022960565,-0.2016270994567897,-4.174125167228146,,,,,-1.506809211251488
SARIMAX,668,,5.600383211348645,,9.383704292474052,10.014907029747038,8.186594379205141,,,,0.014970059880239521,0.6164596273291926,-744,,0.15199163287840456,,-1.0798200807971288,-0.2016270994567897,-2.1781524091207007,,,,,-1.506809211251488
LI,1026,25.41139379590959,4.9255332197312764,0.6198849445809239,10.002815015607053,2.0730565571779587,9.312541922400714,84.17028820759703,741.4308170222355,92.81013653964663,0.015594541910331383,0.5048732943469786,-386,-1.8832493995424109,-0.5228583587389641,0.23335033362865049,-0.46070935766412724,-8.14347757202587,-1.0522048659251286,17.45906726501046,-697.0624205259735,0.6421286216673963,111.34594663001765,-1.506809211251488
Ground Truth,1412,27.294643195452,5.448391578470241,0.3865346109522734,10.46352437327118,10.216534129203827,10.364746788325842,66.71122094258656,1438.493237548209,92.16800791797924,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.506809211251488
