methods,no_loc,rg,k_rg,spat_burst,rand_entr,real_entr,uncorr_entr,max_dist,dist_straight,max_dist_home,recency,freq_rank,no_loc_error,rg_error,k_rg_error,spat_burst_error,rand_entr_error,real_entr_error,uncorr_entr_error,max_dist_error,dist_straight_error,max_dist_home_error,mae,mad
MTGP,720,16.208305281572695,4.495086672027045,0.3724607535869984,9.491853096329674,9.43468919375616,9.483810472063263,49.274272411407814,1770.2770050017741,48.534838818019104,0.008333333333333333,0.41944444444444445,-125,0.8447640485461605,2.626688573052903,0.41298319050358095,-0.2309544348398731,-0.07488035704272633,-0.15096760367925022,40.823653545287215,1124.4913040823844,0.0,129.46561958353362,-1.5883812109486204
SES,281,11.825525746144324,0.16163015248052648,0.5855468189601671,8.134426320220927,0.3976347587586426,4.147072524617339,45.94108806325555,401.69039569941083,47.140591395487135,0.0,0.33451957295373663,-564,-3.5380154868822107,-1.7067679464936156,0.6260692558767497,-1.5883812109486204,-9.111934792040245,-5.487705551125174,37.490469197134956,-244.09530521997897,-1.3942474225319685,86.90388960830126,-1.5883812109486204
Holt,281,11.8017066078908,0.13731327526098236,0.5830457168145081,8.134426320220927,0.3976347587586426,4.147072524617339,44.08055319333213,399.3881746718915,49.83750420434656,0.0,0.33451957295373663,-564,-3.5618346251357345,-1.73108482371316,0.6235681537310906,-1.5883812109486204,-9.111934792040245,-5.487705551125174,35.62993432721153,-246.39752624749832,1.3026653863274547,86.94346351177313,-1.5883812109486204
ES,304,12.345672614516062,0.16935227182130172,0.34366095412147746,8.247927513443585,3.0995441289987564,6.925230533069459,49.42657952322121,839.7127362812854,49.091748238045795,0.01644736842105263,0.40789473684210525,-541,-3.017868618510473,-1.6990458271528406,0.38418339103806,-1.4748800177259618,-6.41002542180013,-2.7095475426730546,40.975960657100615,193.9270353618956,0.5569094200266917,79.21554562579234,-1.5883812109486204
ARIMA,281,,0.17356267000664757,,8.134426320220927,9.43468919375616,4.147072524617339,,,,0.0,0.3357142857142857,-564,,-1.6948354289674947,,-1.5883812109486204,-0.07488035704272633,-5.487705551125174,,,,,-1.5883812109486204
SARIMAX,304,,0.17356267000664757,,8.247927513443585,9.43468919375616,6.925230533069461,,,,0.01644736842105263,0.3357142857142857,-541,,-1.6948354289674947,,-1.4748800177259618,-0.07488035704272633,-2.709547542673053,,,,,-1.5883812109486204
LI,655,18.61517924754939,0.12155391044747899,0.39722546840937817,9.355351096424812,3.9894944444595364,8.952638324023908,15.048482958112148,367.26920615399007,48.765833691113876,0.0,0.3786259541984733,-190,3.251638014522854,-1.7468441885266632,0.4377479053259607,-0.3674564347447351,-5.52007510633935,-0.682139751718605,6.597864091991552,-278.5164947653997,0.2309948730947724,48.73512551316642,-1.5883812109486204
Ground Truth,845,15.363541233026535,1.8683980989741422,-0.040522436916582506,9.722807531169547,9.509569550798886,9.634778075742513,8.450618866120596,645.7857009193898,48.534838818019104,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5883812109486204
