methods,no_loc,rg,k_rg,spat_burst,rand_entr,real_entr,uncorr_entr,max_dist,dist_straight,max_dist_home,recency,freq_rank,no_loc_error,rg_error,k_rg_error,spat_burst_error,rand_entr_error,real_entr_error,uncorr_entr_error,max_dist_error,dist_straight_error,max_dist_home_error,mae,mad
MTGP,371,5.188363602477757,0.07477244909045735,0.41948466580638294,8.535275376620802,2.8515650870736016,7.090957792872451,23.252095173320882,311.06182381339346,23.868863747659237,0.0026954177897574125,0.7951482479784366,-235,-6.088419112941978,-4.2088233288022945,0.09175510715536928,-0.7078986068521491,-6.117392419256263,-2.0599764746061995,-6.330196160331557,-232.6634869208538,-23.262861055459684,51.65308091862594,-3.67089812563935
SES,82,5.43962985402838,0.31177277287726357,0.6748698017863605,6.357552004618084,0.2979219210064444,1.665526632530681,28.074141813628014,138.6416369726934,29.05079453349224,0.0,0.7073170731707317,-524,-5.837152861391355,-3.9718230050154886,0.3471402431353468,-2.885621978854868,-8.67103558532342,-7.485407634947969,-1.5081495200244248,-405.0836737615539,-18.08093026962668,97.78709348598734,-3.67089812563935
Holt,82,6.498860666131211,0.6087760980209924,0.6812799760619823,6.357552004618084,0.2979219210064444,1.665526632530681,31.452616919993915,167.44614440035107,33.001343158484275,0.0,0.7073170731707317,-524,-4.777922049288524,-3.6748196798717596,0.35355041741096865,-2.885621978854868,-8.67103558532342,-7.485407634947969,1.870325586341476,-376.2791663338962,-14.130381644634646,94.41282309105699,-3.67089812563935
ES,105,5.8315281654096065,0.5201887122446092,0.32899625006949684,6.714245517666122,1.80301259373079,5.483957696071711,30.17856349369584,393.10330387153545,28.77404746627483,0.0,0.7523809523809524,-501,-5.445254550010128,-3.763407065648143,0.001266691418483179,-2.528928465806829,-7.165944912599075,-3.6669765714069396,0.5962721600434016,-150.62200686271183,-18.35767733684409,69.31477346164891,-3.67089812563935
ARIMA,82,,11.118658457067584,,6.357552004618084,8.947627458258506,1.665526632530681,,,,0.0,0.7037037037037037,-524,,6.835062679174832,,-2.885621978854868,-0.021330048071359187,-7.485407634947969,,,,,-3.67089812563935
SARIMAX,105,,11.118658457067584,,6.714245517666122,8.947627458258506,5.483957696071712,,,,0.0,0.7037037037037037,-501,,6.835062679174832,,-2.528928465806829,-0.021330048071359187,-3.6669765714069387,,,,,-3.67089812563935
LI,365,10.423236507206756,14.290610664124536,0.43805012447425923,8.51175265376738,1.500130280130469,7.253061993042268,3.7790343687233876,90.52777100268428,31.992921329754218,0.0,0.8356164383561644,-241,-0.853546208212979,10.007014886231783,0.11032056582324556,-0.7314213297055723,-7.468827226199396,-1.8978722744363825,-25.80325696492905,-453.197539731563,-15.138803473364703,75.62086026604662,-3.67089812563935
Ground Truth,606,11.276782715419735,4.283595777892752,0.32772955865101366,9.243173983472952,8.968957506329865,9.15093426747865,29.58229133365244,543.7253107342473,47.13172480311892,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.67089812563935
