methods,no_loc,rg,k_rg,spat_burst,rand_entr,real_entr,uncorr_entr,max_dist,dist_straight,max_dist_home,recency,freq_rank,no_loc_error,rg_error,k_rg_error,spat_burst_error,rand_entr_error,real_entr_error,uncorr_entr_error,max_dist_error,dist_straight_error,max_dist_home_error,mae,mad
MTGP_Comp,5062,8.301398142326756,1.014606973685842,0.2792673520059187,12.305491792110685,11.749539059466091,12.275863750072569,31.950114601330412,6990.690304286074,53.914204807134695,0.0,0.8879775955191038,63,-2.7950313903329125,-4.651890482931684,0.2173560552871518,0.018067980427161956,-0.3206061772567601,0.07632999409233499,4.465831678620113,411.54238272172734,20.281108988596017,50.73686054692715,-11.734270037698678
MTGP_RBF,1,2.1219692669660617e-12,0.0,,0.0,0.00965225825371961,0.0,0.0,0.0,0.0,0,0,-4998,-11.096429532657545,-5.666497456617526,,-12.287423811683523,-12.060492978469131,-12.199533755980234,-27.4842829227103,-6579.147921564347,-33.63309581853868,,-11.734270037698678
SES,1,0.0,0.0,,0.0,0.00965225825371961,0.0,0.0,0.0,0.0,0,0,-4998,-11.096429532659668,-5.666497456617526,,-12.287423811683523,-12.060492978469131,-12.199533755980234,-27.4842829227103,-6579.147921564347,-33.63309581853868,,-11.734270037698678
Holt,1,0.0,0.0,,0.0,0.00965225825371961,0.0,0.0,0.0,0.0,0,0,-4998,-11.096429532659668,-5.666497456617526,,-12.287423811683523,-12.060492978469131,-12.199533755980234,-27.4842829227103,-6579.147921564347,-33.63309581853868,,-11.734270037698678
ES,24,0.7243198681301419,0.1308578296161856,-0.07926205553490269,4.584962500721156,1.4874383909613234,4.584125791579438,2.4895026860450353,2141.847068928818,2.2263120813099095,0.0,0.041666666666666664,-4975,-10.372109664529527,-5.53563962700134,-0.14117335225366956,-7.7024613109623665,-10.582706845761528,-7.615407964400796,-24.994780236665264,-4437.300852635529,-31.406783737228768,951.0651915374334,-11.734270037698678
ARIMA,1,7.073230889886872e-13,0.0,,0.0,0.00965225825371961,0.0,0.0,0.0,0.0,0,0,-4998,-11.096429532658961,-5.666497456617526,,-12.287423811683523,-12.060492978469131,-12.199533755980234,-27.4842829227103,-6579.147921564347,-33.63309581853868,,-11.734270037698678
SARIMAX,1,2.1219692669660617e-12,0.0,,0.0,0.00965225825371961,0.0,0.0,0.0,0.0,0,0,-4998,-11.096429532657545,-5.666497456617526,,-12.287423811683523,-12.060492978469131,-12.199533755980234,-27.4842829227103,-6579.147921564347,-33.63309581853868,,-11.734270037698678
LI,3789,5.372232471851201,1.8559673542728348,0.9198180645594797,11.88760142450871,0.2805192808581114,9.90401810736861,21.95418169900606,124.6641451071973,21.95418169900606,0.0002639218791237794,0.4666138822908419,-1210,-5.724197060808467,-3.810530102344691,0.8579067678407128,-0.39982238717481344,-11.78962595586474,-2.295515648611623,-5.530101223704239,-6454.483776457149,-11.678914119532617,770.6570389723031,-11.734270037698678
Ground Truth,4999,11.096429532659668,5.666497456617526,0.061911296718766884,12.287423811683523,12.070145236722851,12.199533755980234,27.4842829227103,6579.147921564347,33.63309581853868,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.734270037698678
