methods,no_loc,rg,k_rg,spat_burst,rand_entr,real_entr,uncorr_entr,max_dist,dist_straight,max_dist_home,recency,freq_rank,no_loc_error,rg_error,k_rg_error,spat_burst_error,rand_entr_error,real_entr_error,uncorr_entr_error,max_dist_error,dist_straight_error,max_dist_home_error,mae,mad
MTGP_Comp,799,12.628428852305841,0.8228217315608054,0.406317089400451,9.642051692927977,9.629999128311818,9.642051692927977,60.653392018527704,1738.4776326732167,61.65646234421672,0.0,0.8994910941475827,13,-2.066015124017847,-3.2967834572810424,0.016737336038733064,0.02366619066937048,0.1423152580538698,0.05608089525303228,-9.150143003586457,-199.72757184843022,-5.398883902654589,23.28781970159852,-8.977775537575996
MTGP_RBF,1,4.3747541064431574e-12,7.073230889886872e-13,,0.0,0.048029920839460435,0.0,0.0,0.0,0.0,0,0,-785,-14.694443976319313,-4.119605188841141,,-9.618385502258606,-9.439653949418487,-9.585970797674944,-69.80353502211416,-1938.205204521647,-67.05534624687131,,-8.977775537575996
SES,33,1.8199439310295855,0.12668258028177126,0.759582601483471,5.044394119358453,0.0520991080302522,0.4427719899558244,15.692216914343966,117.9232047496896,16.83412857592131,0.030303030303030304,0.8787878787878788,-753,-12.874500045294102,-3.9929226085600766,0.37000284812175305,-4.573991382900153,-9.435584762227696,-9.14319880771912,-54.111318107770195,-1820.2819997719573,-50.22121767095,271.80047360055005,-8.977775537575996
Holt,45,2.196669369606668,0.19443241256393012,0.7584574114220733,5.491853096329675,0.053759084076378194,0.6081952600989495,15.922120808424827,127.68007674094984,19.381278360562085,0.0,0.6666666666666666,-741,-12.49777460671702,-3.925172776277918,0.3688776580603554,-4.1265324059289314,-9.43392478618157,-8.977775537575996,-53.88141421368933,-1810.5251277806972,-47.674067886309224,269.2410667651438,-8.977775537575996
ES,68,2.2588351409376384,0.12182851512277246,0.37603456247268874,6.087462841250339,1.947913856548534,4.921739114654986,16.14783570607576,427.79082270362943,18.817366105952626,0.0,0.4117647058823529,-718,-12.43560883538605,-3.9977766737190756,-0.013545190889029224,-3.530922661008267,-7.539770013709414,-4.664231683019959,-53.6556993160384,-1510.4143818180175,-48.23798014091868,236.24899163327063,-8.977775537575996
ARIMA,45,1.1605855897381705,0.22402950486905307,0.7580530040548837,5.491853096329675,0.053759084076378194,0.6081952600989492,15.388094461739458,118.05880911201456,9.353309405195539,0.0,0.8888888888888888,-741,-13.533858386585518,-3.895575683972795,0.3684732506931658,-4.1265324059289314,-9.43392478618157,-8.977775537575996,-54.415440560374705,-1820.1463954096323,-57.70203684167577,271.36000128626205,-8.977775537575996
SARIMAX,1,0.0,0.0,,0.0,0.048029920839460435,0.0,0.0,0.0,0.0,0,0,-785,-14.694443976323688,-4.119605188841848,,-9.618385502258606,-9.439653949418487,-9.585970797674944,-69.80353502211416,-1938.205204521647,-67.05534624687131,,-8.977775537575996
LI,794,13.123393445257287,1.4888558295578855,0.4785095525228327,9.632995197142957,9.522866875957297,9.622640209818682,69.03365902745075,1471.2752070299405,69.99164878292076,0.002544529262086514,0.8867684478371501,8,-1.5710505310664011,-2.6307493592839624,0.08892979916111476,0.014609694884351043,0.03518300569934851,0.036669412143737645,-0.7698759946634084,-466.92999749170644,2.9363025360494532,48.301336782465825,-8.977775537575996
Ground Truth,786,14.694443976323688,4.119605188841848,0.38957975336171796,9.618385502258606,9.487683870257948,9.585970797674944,69.80353502211416,1938.205204521647,67.05534624687131,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.977775537575996
