methods,no_loc,rg,k_rg,spat_burst,rand_entr,real_entr,uncorr_entr,max_dist,dist_straight,max_dist_home,recency,freq_rank,no_loc_error,rg_error,k_rg_error,spat_burst_error,rand_entr_error,real_entr_error,uncorr_entr_error,max_dist_error,dist_straight_error,max_dist_home_error,mae,mad
MTGP_Comp,1144,18.76864177502553,9.959678413327696,0.4492719825938973,10.159871336778389,10.1509980867026,10.159871336778387,76.34426693692917,2863.399549236488,90.82888171530982,0.0,0.7715555555555556,19,8.78568594173467,9.69164904859104,0.49285683886600584,0.02416205067398991,0.1571091707314256,0.05686944932339166,58.579961848016296,1685.349472964616,47.919676067583104,183.00574433801364,-9.98295583328955
MTGP_RBF,1,7.073230889886872e-13,0.0,,0.0,0.03540024856020345,0.0,0.0,0.0,0.0,0,0,-1124,-9.982955833290152,-0.2680293647366558,,-10.1357092861044,-9.958488667410972,-10.103001887454996,-17.764305088912877,-1178.0500762718718,-42.909205647726715,,-9.98295583328955
SES,1,7.073230889886872e-13,0.0,,0.0,0.03540024856020345,0.0,0.0,0.0,0.0,0,0,-1124,-9.982955833290152,-0.2680293647366558,,-10.1357092861044,-9.958488667410972,-10.103001887454996,-17.764305088912877,-1178.0500762718718,-42.909205647726715,,-9.98295583328955
Holt,1,2.042316214555483e-12,0.0,,0.0,0.03540024856020345,0.0,0.0,0.0,0.0,0,0,-1124,-9.982955833288816,-0.2680293647366558,,-10.1357092861044,-9.958488667410972,-10.103001887454996,-17.764305088912877,-1178.0500762718718,-42.909205647726715,,-9.98295583328955
ES,24,0.3457530685476912,0.43955603788068365,-0.09643262789604787,4.584962500721156,1.8157932837485513,4.579559321142789,1.045459453350781,260.5293457268074,1.045459453350781,0.0,0.9583333333333334,-1101,-9.637202764743169,0.17152667314402786,-0.0528477716239393,-5.550746785383243,-8.178095632222623,-5.523442566312206,-16.718845635562097,-917.5207305450645,-41.863746194375935,210.6217184568432,-9.98295583328955
ARIMA,1,1.912137235497307e-12,0.0,,0.0,0.03540024856020345,0.0,0.0,0.0,0.0,0,0,-1124,-9.982955833288948,-0.2680293647366558,,-10.1357092861044,-9.958488667410972,-10.103001887454996,-17.764305088912877,-1178.0500762718718,-42.909205647726715,,-9.98295583328955
SARIMAX,1,0.0,0.0,,0.0,0.03540024856020345,0.0,0.0,0.0,0.0,0,0,-1124,-9.982955833290859,-0.2680293647366558,,-10.1357092861044,-9.958488667410972,-10.103001887454996,-17.764305088912877,-1178.0500762718718,-42.909205647726715,,-9.98295583328955
LI,1067,0.14452151573655334,0.02616965687744541,0.8834787945661006,10.059344460824425,4.361310622617064,9.731321185492327,0.42154196324037213,0.8970506604178132,0.42154196324037213,0.005623242736644799,0.7722586691658857,-58,-9.838434317554306,-0.24185970785921038,0.9270636508382092,-0.07636482527997401,-5.63257829335411,-0.3716807019626689,-17.342763125672505,-1177.153025611454,-42.48766368448634,131.20714339184613,-9.98295583328955
Ground Truth,1125,9.982955833290859,0.2680293647366558,-0.04358485627210857,10.1357092861044,9.993888915971175,10.103001887454996,17.764305088912877,1178.0500762718718,42.909205647726715,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.98295583328955
