model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE
MTGP,0.4302613670536913,1.54284957929144,0.09049192756145695,3.946737517418649,279.8201606994227,3777.0278041696474
SES,0.30998001186646573,1.7318411452406826,0.0016471304285659207,3.0427453498549815,151.66624829594903,2911.9072998112174
Holt,0.3092987012250428,1.7319693733782655,0.0010238457820056267,3.0237944281042917,150.70816405900035,2893.7712676958067
ES,0.4641240727497428,1.724590587132368,0.12279649998803183,4.2834707262611715,471.1153004185463,4099.281485031942
ARIMA,0.3085714147409028,1.7320848041656356,0.0,2.9943750115481143,150.01011297893743,2865.6168860515454
SARIMAX,0.4675501099053027,1.7186328853714987,0.09377047970401227,4.682912359846937,667.6372619290598,4481.547128373519
