model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE
MTGP,0.21969846032853566,0.3218760577804916,0.15446409667426345,1.4594121614456208,175.04049281231298,551.6577970264447
SES,1.1912345675497118,1.607086117207316,1.0569140835076811,2.7686769476190167,22.07880178510818,1046.5598861999881
Holt,1.2415225436329627,1.6618810623185796,1.0725244695097043,2.404886391249224,17.712023801421356,909.0470558922067
ES,2.32364164364787,2.6803136451006484,2.3375713616266567,1.7030799920628104,12.125190199764868,643.7642369997423
ARIMA,1.8759892509963578,2.2888501807426325,1.8540437428898726,1.8098837043224583,13.650971488542108,684.1360402338893
SARIMAX,1.03596967058489,1.4560747537236962,0.8474726245011586,73.90031474246317,1738.202364445587,27934.31897265108
