model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE
MTGP,1.7901355197411377,2.2750188310287283,1.7339244428652385,7.938203138896953,139.7891699070253,365.1573443892599
SES,1.9170902971814607,2.2202419722852214,1.852911687544848,1.8908331033321009,3.5414360087180223,86.97832275327663
Holt,2.3838199545899816,2.833502647675483,2.615748653462031,1.5567432506907166,2.979911359878753,71.61018953177297
ES,3.14647031172441,3.5571172224827925,3.520960328190139,1.4335653894688951,2.444911441802728,65.94400791556919
ARIMA,2.8297393166594347,3.281718326512723,3.184323822098304,1.4344207344949298,2.5396914878482435,65.98335378676678
SARIMAX,1.5092945061683445,1.666388773721184,1.6266319229119257,118.66386303852812,1617.2563158534624,5458.537699772293
