model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE,PCM,DF,AREA,CL,DTW,MSE
MTGP_Comp,0.6974289582172608,2.502723293822452,1.5733073051512936,8.326847075539993,24.24545399895339,940.9337195360192,118.94681270799154,4.003631132144039,21513.335083729165,16.757926387576532,157.61894455710097,1.5659059713603756
MTGP_RBF,0.7473016371235928,2.686575114244632,1.6498054634791748,824.9517333975394,2680.2029606029214,93219.54587392196,,4.192381029730553,27990.21901031063,62.351740686247844,168.890169989932,1.8044214611196392
SES,0.7695943254996995,2.6963474556716185,2.238452921372439,1.8107039574591195,7.381993035476159,204.6095471928805,34.84449848799282,3.9055998210760827,34569.493473157614,10.262975316294991,173.9283175629322,1.8175724004267029
Holt,0.7658883877546775,2.6752589592112583,2.19173004721372,2.4592853111834043,87.00350632126514,277.8992401637247,34.778352485398926,4.008610686383891,34881.129764765414,10.880499065593936,173.09077563255713,1.7892526247100258
ES,0.7604518416238502,2.597724352328083,2.0030860509579416,646.3864424194388,19135.57518642603,73041.6679933966,32.31238181206157,4.38562019496757,35031.39676204307,11.614447522188698,171.86211620699015,1.6870429526695898
ARIMA,0.7598494074498556,2.6523782949274577,2.1154108742000695,inf,inf,inf,35.64235827960739,4.004544952152387,34785.90058483952,11.537725481679384,171.72596608366734,1.7587776548505718
SARIMAX,0.7479546851725307,2.688323202435579,1.655012412397183,inf,inf,inf,,4.196327191982408,28062.987598961758,inf,169.03775884899193,1.8067704101883715
