model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE,PCM,DF,AREA,CL,DTW,MSE
MTGP_Comp,0.0709007896313387,0.283362270288255,0.13774632376994958,7.163899042642935,2540.815902313854,3223.7545691893206,30.711946011737712,1.0808488498023963,13290.689758936041,,63.81071066820483,0.02007354405572852
MTGP_RBF,0.2585916836388994,0.9005454032032029,0.6209218692775854,360.5462301632575,1503.5156629337953,162245.80357346588,,2.9116732739046975,58989.286257032836,106.12631791085829,232.73251527500952,0.2027455058076048
SES,0.24960573498683647,0.9840489943018593,0.4413754886928711,3.2774944193666515,210.32546298680242,1474.8724887149933,82.96068581042475,2.8871922751050545,59617.987374268094,,224.64516148815284,0.2420881057966252
Holt,0.5406288902657941,1.7928787066500398,1.6252348916354424,1.81811268995143,58.727433248833364,818.1507104781435,117.28626600525392,2.625514324030569,105889.18181423508,22.176727217751825,486.56600123921476,0.8036035141897799
ES,0.547759178041096,1.804809423321459,1.6202541496493146,1.792658706663282,62.70137082325026,806.6964179984769,109.4791253411717,2.6415735678538264,106916.33825372561,19.533443582380542,492.9832602369861,0.8143342636274843
ARIMA,0.25251281622656263,0.886990321679085,0.5861614210945842,352.8634203797061,3280.611471448891,158788.53917086776,78.37251051282614,2.9107859369898277,59013.20484443534,,227.26153460390634,0.19668795768809166
SARIMAX,0.2584611366780376,0.9003253785257431,0.6225874270144879,inf,inf,inf,,2.914447123158085,58955.786509921585,inf,232.61502301023378,0.2026464468043807
