methods,no_loc,rg,k_rg,spat_burst,rand_entr,real_entr,uncorr_entr,max_dist,dist_straight,max_dist_home,recency,freq_rank,no_loc_error,rg_error,k_rg_error,spat_burst_error,rand_entr_error,real_entr_error,uncorr_entr_error,max_dist_error,dist_straight_error,max_dist_home_error,mae,mad
MTGP_Comp,434,9.260607391663543,0.34219657890923805,0.45007759596395996,8.761551232444479,8.741409735358399,8.761551232444482,46.71432354365342,494.915976756248,49.73309011294377,0.00516795865633075,0.7984496124031008,47,-9.453198574421615,-0.8876122852927677,0.042110456930394946,0.1653614763000686,0.8849774318854573,0.5226834186543012,-1.155026054356476,12.832963650886029,-22.182789391109736,9.512672273983686,-8.238867813790181
MTGP_RBF,1,1.9206593565957133e-12,0.0,,0.0,0.08001416650634227,0.0,0.0,0.0,0.0,0,0,-386,-18.713805966083235,-1.2298088642020057,,-8.59618975614441,-7.7764181369665994,-8.238867813790181,-47.8693495980099,-482.083013105362,-71.9158795040535,,-8.238867813790181
SES,1,4.095748374216403e-12,0.0,,0.0,0.08001416650634227,0.0,0.0,0.0,0.0,0,0,-386,-18.71380596608106,-1.2298088642020057,,-8.59618975614441,-7.7764181369665994,-8.238867813790181,-47.8693495980099,-482.083013105362,-71.9158795040535,,-8.238867813790181
Holt,1,1.9216347547297994e-12,0.0,,0.0,0.08001416650634227,0.0,0.0,0.0,0.0,0,0,-386,-18.713805966083235,-1.2298088642020057,,-8.59618975614441,-7.7764181369665994,-8.238867813790181,-47.8693495980099,-482.083013105362,-71.9158795040535,,-8.238867813790181
ES,25,0.8386578728529436,0.22590334548452978,0.000572899770813275,4.643856189774724,2.2796841935736833,4.549511781393844,2.9158300348663815,270.90440735839616,2.679202760540246,0.0,1.0,-362,-17.875148093232212,-1.003905518717476,-0.40739423926275176,-3.9523335663696857,-5.576748109899258,-3.6893560323963372,-44.953519563143516,-211.17860574696584,-69.23667674351326,71.98736876135004,-8.238867813790181
ARIMA,1,6.1403602457225655e-12,0.0,,0.0,0.08001416650634227,0.0,0.0,0.0,0.0,0,0,-386,-18.71380596607902,-1.2298088642020057,,-8.59618975614441,-7.7764181369665994,-8.238867813790181,-47.8693495980099,-482.083013105362,-71.9158795040535,,-8.238867813790181
SARIMAX,1,2.1219692669660617e-12,0.0,,0.0,0.08001416650634227,0.0,0.0,0.0,0.0,0,0,-386,-18.713805966083036,-1.2298088642020057,,-8.59618975614441,-7.7764181369665994,-8.238867813790181,-47.8693495980099,-482.083013105362,-71.9158795040535,,-8.238867813790181
LI,416,11.377122664175717,1.1165978067829765,0.7404811678806112,8.700439718141093,7.856432303472942,8.608466988440457,46.69140676448752,178.10199332692855,48.06431976419444,0.00516795865633075,0.7932816537467701,29,-7.33668330190944,-0.11321105741902926,0.33251402884704623,0.10424996199668257,0.0,0.3695991746502756,-1.1779428335223798,-303.98101977843345,-23.85155973985907,36.62667798766374,-8.238867813790181
Ground Truth,387,18.713805966085157,1.2298088642020057,0.407967139033565,8.59618975614441,7.856432303472942,8.238867813790181,47.8693495980099,482.083013105362,71.9158795040535,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.238867813790181
