methods,no_loc,rg,k_rg,spat_burst,rand_entr,real_entr,uncorr_entr,max_dist,dist_straight,max_dist_home,recency,freq_rank,no_loc_error,rg_error,k_rg_error,spat_burst_error,rand_entr_error,real_entr_error,uncorr_entr_error,max_dist_error,dist_straight_error,max_dist_home_error,mae,mad
MTGP,499,3.172929272951397,0.00808809360268266,0.6432304335458284,8.96289600533726,2.2527182860649115,3.740287955156843,31.19664168351395,677.4304217559687,34.271237444567234,0.031746031746031744,0.8650793650793651,373,0.03365347877273006,-0.0009757119970689194,-0.09282380348500463,1.9856160818373434,1.8324952070180849,2.62256330129593,0.0,195.3518429567784,0.0,57.491997054118464,-0.05509399868630338
SES,105,3.0764122270187335,0.0004109350839008362,0.7525587149052305,6.714245517666122,1.0015521258093096,1.6602177518537509,33.29977175020603,480.81867034141766,34.271237444567234,0.06666666666666667,0.7142857142857143,-21,-0.06286356715993335,-0.008652870515850744,0.01650447787439746,-0.26303440583379434,0.581329046762483,0.5424930979928382,2.103130066692078,-1.2599084577726671,0.0,2.5837915990604046,-0.05509399868630338
Holt,105,3.0764347235144305,5.253741240721396e-05,0.7526869755744193,6.714245517666122,1.0015521258093096,1.6602177518537509,33.3005686686057,480.5461887176996,34.271237444567234,0.06666666666666667,0.7142857142857143,-21,-0.06284107066423639,-0.009011268187344365,0.016632738543586267,-0.26303440583379434,0.581329046762483,0.5424930979928382,2.10392698509175,-1.532390081490746,0.0,2.6111658694566784,-0.05509399868630338
ES,128,3.0851110481730584,0.08152862418612161,0.6800309856638348,7.0,1.7444748427097518,2.7549272700820833,33.84720191663423,649.2168434515881,34.271237444567234,0.031746031746031744,0.8888888888888888,2,-0.0541647460056085,0.07246481858637004,-0.05602325136699826,0.02272007650008323,1.3242517636629252,1.6372026162211706,2.6505602331202844,167.13826465239782,0.0,17.495565215786126,-0.05509399868630338
ARIMA,105,,0.00808809360268266,,6.714245517666122,2.2527182860649115,1.6602177518537509,31.19664168351395,,,0.06666666666666667,0.7019230769230769,-21,,-0.0009757119970689194,,-0.26303440583379434,1.8324952070180849,0.5424930979928382,0.0,,,,-0.05509399868630338
SARIMAX,128,,0.00808809360268266,,7.0,2.2527182860649115,2.7549272700820833,31.19664168351395,,,0.015873015873015872,0.7019230769230769,2,,-0.0009757119970689194,,0.02272007650008323,1.8324952070180849,1.6372026162211706,0.0,,,,-0.05509399868630338
LI,148,3.1609733814384335,0.007063488433771643,0.7306050176849959,7.20945336562895,0.3794772135605982,1.2174889347835278,31.19664168351395,461.6793067290867,34.271237444567234,0.031746031746031744,0.753968253968254,22,0.02169758725976667,-0.002000317165979936,-0.005449219345837197,0.23217344212903335,-0.04074586548622844,0.09976428092261513,0.0,-20.39927207010362,0.0,4.280110278241309,-0.05509399868630338
Ground Truth,126,3.139275794178667,0.00906380559975158,0.7360542370308331,6.977279923499917,0.42022307904682665,1.1177246538609127,31.19664168351395,482.0785787991903,34.271237444567234,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05509399868630338
