model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE,PCM,DF,AREA,CL,DTW,MSE
MTGP_Comp,0.30013402955855595,1.3044020264515852,0.5523953185776936,79.62715440685852,127622.2762008837,138949.38443996813,147.88732545912188,6.278718496818957,67593.34351511694,231.7412085210753,1047.4677631593595,0.4253661616527506
MTGP_RBF,0.42307864643168136,1.4312932252194848,1.1272711440171683,3986.7345479695628,45455.71961553721,6956851.786206886,,5.635867100800067,106808.98043416312,,1476.5444760465657,0.5121500741397986
SES,0.46632842982374717,1.8915407531878397,0.9769355925524716,1.8469394988152215,32.92256929826621,3222.9094254325614,444.3038497955173,6.2254014994956535,91331.20844067438,,1627.486220084877,0.894481605242605
Holt,0.46632832565421944,1.891540266210191,0.9769360228113633,1.8469420043934104,32.92318536253917,3222.9137976665015,444.3036126390715,6.225400770707624,91331.19582716179,,1627.4858565332265,0.89448114467363
ES,0.5043726238557987,2.0046214892109524,1.1005802047877393,1.8935947338488601,294.8466067396003,3304.322810566261,350.77371629504376,6.310256695459298,97847.50768499458,,1760.260457256738,1.004626828751584
ARIMA,0.4257356888686661,1.446532711088287,1.1148682242524464,151.19775702662128,1583.6805321338124,263840.0860114541,413.51128901706,5.633490740357,106908.65138175913,,1485.8175541516457,0.5231142210621075
SARIMAX,0.4230783744788015,1.4311396994109256,1.129196184788498,inf,inf,inf,,5.6372081118508115,106841.88966092042,inf,1476.543526931016,0.5120402098074985
