methods,no_loc,rg,k_rg,spat_burst,rand_entr,real_entr,uncorr_entr,max_dist,dist_straight,max_dist_home,recency,freq_rank,no_loc_error,rg_error,k_rg_error,spat_burst_error,rand_entr_error,real_entr_error,uncorr_entr_error,max_dist_error,dist_straight_error,max_dist_home_error,mae,mad
MTGP,1170,39.76999846440487,6.062592701173014,0.48841271882301895,10.192292814470767,10.09014422780023,10.166362529472991,161.97154226960035,5268.086593368917,134.52690254075003,0.005982905982905983,0.31794871794871793,-242,12.475355268952871,0.6142011227027737,0.10187810787074553,-0.27123155880041416,-0.12638990140359674,-0.19838425885285105,95.26032132701378,3829.5933558207084,42.35889462277079,422.3000011989077,-3.0018122637581435
SES,530,24.059706751121173,0.1134258435378311,0.42989650011698916,9.049848549450562,0.16375400017481748,5.118389784217406,17.826040522862368,737.0259744123571,98.11200588974422,0.009433962264150943,0.4,-882,-3.2349364443308275,-5.3349657349324096,0.04336188916471573,-1.4136758238206184,-10.05278012902901,-5.246357004108436,-48.88518041972419,-701.4672631358519,5.943997971764986,166.36225185527272,-3.0018122637581435
Holt,530,23.66364239260629,0.2633929102426512,0.4275560798391459,9.049848549450562,0.16375400017481748,5.118389784217406,17.826040522862368,742.3107685504892,96.75859573722119,0.009433962264150943,0.39811320754716983,-882,-3.6310008028457084,-5.184998668227589,0.04102146888687247,-1.4136758238206184,-10.05278012902901,-5.246357004108436,-48.88518041972419,-696.1824689977198,4.5905878192419465,165.72280711336043,-3.0018122637581435
ES,553,24.587852567879715,0.27360947605964614,0.20796604095693239,9.111135670234708,2.6607952421097676,7.596058705140384,17.826040522862368,1200.46101810104,100.1563968622639,0.009041591320072333,0.4104882459312839,-859,-2.7067906275722855,-5.174782102410594,-0.17856856999534104,-1.352388703036473,-7.55573888709406,-2.7686880831854586,-48.88518041972419,-238.03221944716893,7.988388944284665,117.36427457844724,-3.0018122637581435
ARIMA,530,,6.062592701173014,,9.049848549450562,10.09014422780023,5.118389784217406,,,,0.009433962264150943,0.40264650283553877,-882,,0.6142011227027737,,-1.4136758238206184,-0.12638990140359674,-5.246357004108436,,,,,-3.0018122637581435
SARIMAX,553,,6.062592701173014,,9.111135670234708,10.09014422780023,7.596058705140383,,,,0.009041591320072333,0.40264650283553877,-859,,0.6142011227027737,,-1.352388703036473,-0.12638990140359674,-2.7686880831854594,,,,,-3.0018122637581435
LI,669,24.045949270634345,0.11039506341389553,0.43062888088532497,9.38586240064146,0.18828942483379296,6.36254929967292,17.826040522862368,735.7642353268517,98.10217773474446,0.01046337817638266,0.5142002989536621,-743,-3.2486939248176547,-5.337996515056345,0.044094269933051544,-1.0776619726297199,-10.028244704370035,-4.002197488652922,-48.88518041972419,-702.7290022213573,5.93416981676522,152.42872413333063,-3.0018122637581435
Ground Truth,1412,27.294643195452,5.448391578470241,0.3865346109522734,10.46352437327118,10.216534129203827,10.364746788325842,66.71122094258656,1438.493237548209,92.16800791797924,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0018122637581435
