model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE,PCM,DF,AREA,CL,DTW,MSE
MTGP_Comp,0.5280756910979943,2.185818412377697,1.0066667359671433,19.51700917194623,586.5182948188417,20317.206547996026,105.66971492937606,6.790713904166351,68735.91428314721,,1099.4535888660246,1.194450532972339
MTGP_RBF,0.46743926121913354,1.9279042357813163,0.9515509395034668,136.574597369452,966.3986434955337,142174.15586159952,,5.953676074080459,58142.041770781565,,973.208541858236,0.9292036855858854
SES,0.5444748951166564,2.3835943306073766,0.9765488168047366,2.0455725558479934,12.650038761435928,2129.441030637761,,6.714073772717553,9863.160745876972,,1133.5967316328806,1.4203804832259066
Holt,0.6381799772064175,2.581595966891767,1.2242659313456548,2.001020526421017,10.191767004848007,2083.0623680042786,,6.91096469333152,24929.202117003668,,1328.6907125437608,1.6661594340679597
ES,0.675396797006325,2.6692729600914626,1.3511894669060298,1.8568866727067823,9.78040452444827,1933.0190262877602,4035.8144995704965,6.994209310055186,31304.872242555095,,1406.1761313671684,1.7812545338688601
ARIMA,0.4657157094296077,1.9367658329057542,0.9294849467854174,80.44402271835415,379.8321414325367,83742.22764980666,1.5711256277726656e+18,5.985068647643191,55860.47748369549,,969.6201070324435,0.93776547287778
SARIMAX,0.46824297223173883,1.9286921959644134,0.955667929529515,inf,inf,inf,,5.9548099085689685,58067.04887751839,inf,974.8818681864811,0.9299633966935079
