model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE,PCM,DF,AREA,CL,DTW,MSE
MTGP_Comp,0.10918995339921356,0.5300308453492099,0.19616594719398198,2.79885694603156,846.0058649835764,3551.74946451405,126.03919969776614,3.1756250025640878,29854.910208286077,,277.12410172720433,0.0702331742553995
MTGP_RBF,0.4197750848214525,1.3807791877716966,1.1425670016691687,300.844507476256,762.6565327942585,381771.6799873689,,3.1631862316841914,80656.73614106714,,1065.3891652768464,0.4766377913458666
SES,0.9032423553944033,3.046846412444731,3.0701564168932016,1.7737675597808893,19.40816726935928,2250.9110333619483,359.74647284158675,4.274740984210755,112790.99780982563,30.819706676334736,2292.429097990995,2.320818265256832
Holt,1.0672049632672014,3.6444622480375424,3.7724858420516774,2.255728765423628,30.78082751445251,2862.5198033225843,358.341844007797,4.522445951823415,145892.76713143193,32.98317634459007,2708.566196772159,3.3205262693427144
ES,1.0930276565990522,3.7413379244073535,3.8597570490682447,2.2851784899413086,19.137439074901366,2899.891503735521,332.09458938279937,4.619759277582731,150528.49503917334,30.472561917980947,2774.104192448393,3.499402366152181
ARIMA,0.4255530846449025,1.3984309592326614,1.1488916444013026,289.0210487044965,937.464577845737,366767.71080600604,305.4776320931827,3.3708118324963308,81934.13204115775,,1080.0537288287628,0.4889022869350954
SARIMAX,0.42151641631985004,1.3816759172776965,1.1432346779120441,inf,inf,inf,,3.1511549748393546,80667.7029271115,inf,1069.8086646197794,0.477257085096291
