model,MAE,RMSE,MAD,MAPE,MAXAPE,TAPE
MTGP,2.1235602515928,3.84120278252518,1.2506194016182863,11.94511204466144,1085.9264864859688,7155.122114752203
SES,2.4375578082450065,4.315880140183989,1.4003102559317735,3.054390163457469,22.84676279500483,1829.5797079110243
Holt,2.4589668948977947,4.31340470397209,1.446400780594617,2.9095254207675847,21.38226376361644,1742.8057270397833
ES,2.9359025154918545,4.304149595114129,2.29183540838243,1.8166835199567244,8.923864479547094,1088.193428454078
ARIMA,2.962407164604917,4.316818468632523,2.341285703415082,1.7997564843663865,8.670127989596322,1078.0541341354656
SARIMAX,2.180928248991931,4.321888839359692,1.0773435828522324,90.82307743182037,11207.774750009488,54403.0233816604
