methods,no_loc,rg,k_rg,spat_burst,rand_entr,real_entr,uncorr_entr,max_dist,dist_straight,max_dist_home,recency,freq_rank,no_loc_error,rg_error,k_rg_error,spat_burst_error,rand_entr_error,real_entr_error,uncorr_entr_error,max_dist_error,dist_straight_error,max_dist_home_error,mae,mad
MTGP_Comp,763,25.544934603538163,8.370488843055137,0.33629702717241067,9.57553924683453,9.563005818500978,9.575539246834532,145.54079433012564,4992.84536780417,163.7497093319713,0.0,0.4418262150220913,84,13.654477989483906,7.691801284841221,0.20196716108569865,0.16827148258979818,0.9675511769306873,0.6180273523798814,126.52599649409805,4342.86220263176,120.73577273362008,469.742606830679,-9.182389829349692
MTGP_RBF,1,0.0,0.0,,0.0,0.049937367198438526,0.0,0.0,0.0,0.0,0,0,-678,-11.890456614054257,-0.6786875582139158,,-9.407267764244732,-8.545517274371852,-8.957511894454651,-19.014797836027583,-649.9831651724098,-43.01393659835122,,-9.182389829349692
SES,1,3.810061912278894e-12,0.0,,0.0,0.049937367198438526,0.0,0.0,0.0,0.0,0,0,-678,-11.890456614050446,-0.6786875582139158,,-9.407267764244732,-8.545517274371852,-8.957511894454651,-19.014797836027583,-649.9831651724098,-43.01393659835122,,-9.182389829349692
Holt,1,2.3728769591914288e-12,1.905077755524841e-12,,0.0,0.049937367198438526,0.0,0.0,0.0,0.0,0,0,-678,-11.890456614051883,-0.6786875582120108,,-9.407267764244732,-8.545517274371852,-8.957511894454651,-19.014797836027583,-649.9831651724098,-43.01393659835122,,-9.182389829349692
ES,24,1.6014674692185955,0.23503483048290047,0.11295370301627444,4.584962500721156,2.3230958490730513,4.57457688944447,5.448570903788747,825.0600895119603,4.721254114432385,0.0,0.9583333333333334,-655,-10.28898914483566,-0.44365272773101533,-0.021376163070437576,-4.822305263523576,-6.272358792497239,-4.382935005010181,-13.566226932238836,175.0769243395505,-38.29268248391884,90.81674508523763,-9.182389829349692
ARIMA,1,2.1219692669660617e-12,0.0,,0.0,0.049937367198438526,0.0,0.0,0.0,0.0,0,0,-678,-11.890456614052134,-0.6786875582139158,,-9.407267764244732,-8.545517274371852,-8.957511894454651,-19.014797836027583,-649.9831651724098,-43.01393659835122,,-9.182389829349692
SARIMAX,1,4.0670787510751375e-12,0.0,,0.0,0.049937367198438526,0.0,0.0,0.0,0.0,0,0,-678,-11.890456614050189,-0.6786875582139158,,-9.407267764244732,-8.545517274371852,-8.957511894454651,-19.014797836027583,-649.9831651724098,-43.01393659835122,,-9.182389829349692
LI,649,0.6000977587690652,0.07708125089960965,0.8372469628555247,9.342074667999139,1.795119519738267,8.543781244398618,1.7197747799020373,4.263213800411834,1.2364967240417692,0.0030816640986132513,0.785824345146379,-30,-11.290358855285191,-0.6016063073143061,0.7029170967688126,-0.06519309624559355,-6.800335121832023,-0.41373065005603316,-17.295023056125544,-645.719951371998,-41.77743987430945,75.46665554299351,-9.182389829349692
Ground Truth,679,11.890456614054257,0.6786875582139158,0.13432986608671202,9.407267764244732,8.59545464157029,8.957511894454651,19.014797836027583,649.9831651724098,43.01393659835122,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.182389829349692
